source_term,result_count,status,error
paracetamol,1,ok,
mefenamic acid dicyclomine,0,ok,
mefenamic acid,2,ok,
ibuprofen paracetamol,0,ok,
ibuprofen,2,ok,
nimesulide,0,ok,
aceclofenac,1,ok,
aceclofenac paracetamol,0,ok,
diclofenac,2,ok,
tramadol paracetamol,0,ok,
tramadol,2,ok,
pantoprazole,2,ok,
pantoprazole domperidone,0,ok,
omeprazole,2,ok,
esomeprazole,2,ok,
rabeprazole,2,ok,
ranitidine,2,ok,
aluminium hydroxide magnesium hydroxide simethicone,0,ok,
sodium bicarbonate citric acid,2,ok,
metformin,2,ok,
glimepiride,2,ok,
sitagliptin metformin,2,ok,
sitagliptin,2,ok,
vildagliptin,0,ok,
vildagliptin metformin,0,ok,
empagliflozin linagliptin,2,ok,
empagliflozin,2,ok,
dapagliflozin,2,ok,
voglibose,0,ok,
human insulin,2,ok,
human insulin nph,0,ok,
biphasic human insulin,0,ok,
insulin glargine,2,ok,
insulin aspart,2,ok,
amlodipine,2,ok,
telmisartan,2,ok,
olmesartan,2,ok,
losartan,2,ok,
ramipril,2,ok,
lisinopril,2,ok,
metoprolol,2,ok,
atenolol,2,ok,
aspirin,2,ok,
clopidogrel,2,ok,
atorvastatin,2,ok,
rosuvastatin,2,ok,
levothyroxine,2,ok,
amoxicillin clavulanic acid,0,ok,
azee,0,ok,
cefixime,2,ok,
cefpodoxime,2,ok,
cefuroxime,2,ok,
ceftriaxone,2,ok,
ciprofloxacin,2,ok,
ofloxacin,2,ok,
levofloxacin,2,ok,
metronidazole,2,ok,
tinidazole,2,ok,
amikacin,2,ok,
gentamicin,2,ok,
meropenem,2,ok,
piperacillin tazobactam,2,ok,
cetirizine,2,ok,
levocetirizine,2,ok,
fexofenadine,2,ok,
hydroxyzine,2,ok,
paracetamol phenylephrine chlorpheniramine,0,ok,
montelukast levocetirizine,0,ok,
montelukast,2,ok,
ambroxol guaifenesin terbutaline,0,ok,
levosalbutamol ambroxol guaifenesin,0,ok,
diphenhydramine ammonium chloride sodium citrate,0,ok,
dextromethorphan chlorpheniramine,2,ok,
dextromethorphan,2,ok,
salbutamol,1,ok,
budesonide,2,ok,
formoterol budesonide,2,ok,
salmeterol fluticasone,2,ok,
ipratropium salbutamol,0,ok,
theophylline etophylline,0,ok,
