source,source_term,setid,title,published_date,product_name,generic_name,active_ingredients,strengths,ndcs,package_descriptions,structured_text
DailyMed,paracetamol,bf001b70-6164-1ec9-e053-2a95a90a1274,"AC FAST (PARACETAMOL) CAPSULE, COATED [GRIMANN SA DE CV]","Apr 05, 2021",AC FAST,PARACETAMOL,ACETAMINOPHEN,500 mg in 1 U,81660-222-01,10 U in 1 BLISTER PACK,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: AC FAST
GENERIC_NAME: PARACETAMOL
ACTIVE_INGREDIENTS: ACETAMINOPHEN
STRENGTHS: 500 mg in 1 U
NDCS: 81660-222-01
PACKAGE_DESCRIPTIONS: 10 U in 1 BLISTER PACK
PUBLISHED_DATE: Apr 05, 2021
TITLE: AC FAST (PARACETAMOL) CAPSULE, COATED [GRIMANN SA DE CV]
SETID: bf001b70-6164-1ec9-e053-2a95a90a1274
SOURCE: DailyMed"
DailyMed,mefenamic acid,9b8b3e03-4801-4ae8-b44e-e01d1ab1e34b,MEFENAMIC ACID (MEFENAMIC ACID) CAPSULE [BRYANT RANCH PREPACK],"Mar 18, 2026",Mefenamic acid,Mefenamic acid,MEFENAMIC ACID,250 mg,72162-2382-3,30 in 1 BOTTLE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Mefenamic acid
GENERIC_NAME: Mefenamic acid
ACTIVE_INGREDIENTS: MEFENAMIC ACID
STRENGTHS: 250 mg
NDCS: 72162-2382-3
PACKAGE_DESCRIPTIONS: 30 in 1 BOTTLE
PUBLISHED_DATE: Mar 18, 2026
TITLE: MEFENAMIC ACID (MEFENAMIC ACID) CAPSULE [BRYANT RANCH PREPACK]
SETID: 9b8b3e03-4801-4ae8-b44e-e01d1ab1e34b
SOURCE: DailyMed"
DailyMed,mefenamic acid,d0291319-ab3e-20c8-e053-2a95a90afabb,"MEFENAMIC ACID CAPSULE [MISEMER PHARMACEUTICALS, INC]","Mar 02, 2026",Mefenamic Acid,Mefenamic Acid,MEFENAMIC ACID,250 mg,0276-0509-30,30 in 1 BOTTLE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Mefenamic Acid
GENERIC_NAME: Mefenamic Acid
ACTIVE_INGREDIENTS: MEFENAMIC ACID
STRENGTHS: 250 mg
NDCS: 0276-0509-30
PACKAGE_DESCRIPTIONS: 30 in 1 BOTTLE
PUBLISHED_DATE: Mar 02, 2026
TITLE: MEFENAMIC ACID CAPSULE [MISEMER PHARMACEUTICALS, INC]
SETID: d0291319-ab3e-20c8-e053-2a95a90afabb
SOURCE: DailyMed"
DailyMed,ibuprofen,19253175-4185-468d-9d3d-9b53be764e18,"GOOD SENSE CHILDRENS IBUPROFEN (IBUPROFEN) TABLET, CHEWABLE [L. PERRIGO COMPANY]","Apr 10, 2026",good sense childrens ibuprofen,Ibuprofen,IBUPROFEN,100 mg,0113-6040-00 | 0113-6040-62,24 in 1 BOTTLE | 1 in 1 CARTON,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: good sense childrens ibuprofen
GENERIC_NAME: Ibuprofen
ACTIVE_INGREDIENTS: IBUPROFEN
STRENGTHS: 100 mg
NDCS: 0113-6040-00 | 0113-6040-62
PACKAGE_DESCRIPTIONS: 24 in 1 BOTTLE | 1 in 1 CARTON
PUBLISHED_DATE: Apr 10, 2026
TITLE: GOOD SENSE CHILDRENS IBUPROFEN (IBUPROFEN) TABLET, CHEWABLE [L. PERRIGO COMPANY]
SETID: 19253175-4185-468d-9d3d-9b53be764e18
SOURCE: DailyMed"
DailyMed,ibuprofen,a50abf26-d6e5-10e4-ea90-a40b96a887e5,"IBUPROFEN TABLET, FILM COATED [COSTCO WHOLESALE CORPORATION]","Apr 10, 2026",Ibuprofen,ibuprofen,IBUPROFEN,200 mg,63981-291-03 | 63981-291-14,"1 in 1 PACKAGE | 10 in 1 BOTTLE | 500 in 1 BOTTLE, PLASTIC","TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Ibuprofen
GENERIC_NAME: ibuprofen
ACTIVE_INGREDIENTS: IBUPROFEN
STRENGTHS: 200 mg
NDCS: 63981-291-03 | 63981-291-14
PACKAGE_DESCRIPTIONS: 1 in 1 PACKAGE | 10 in 1 BOTTLE | 500 in 1 BOTTLE, PLASTIC
PUBLISHED_DATE: Apr 10, 2026
TITLE: IBUPROFEN TABLET, FILM COATED [COSTCO WHOLESALE CORPORATION]
SETID: a50abf26-d6e5-10e4-ea90-a40b96a887e5
SOURCE: DailyMed"
DailyMed,aceclofenac,8a023942-01e8-4849-aa3c-1a640ffc7fd3,"CLANZA CR (ACECLOFENAC) TABLET, FILM COATED [UNITED DOUGLAS PHARM., INC.]","Nov 03, 2011",ClanzaCR,Aceclofenac,Aceclofenac,200 mg,65697-450-20 | 65697-450-21 | 65697-450-22,1 in 1 PACKET | 10 in 1 BLISTER PACK | 10 in 1 CARTON,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: ClanzaCR
GENERIC_NAME: Aceclofenac
ACTIVE_INGREDIENTS: Aceclofenac
STRENGTHS: 200 mg
NDCS: 65697-450-20 | 65697-450-21 | 65697-450-22
PACKAGE_DESCRIPTIONS: 1 in 1 PACKET | 10 in 1 BLISTER PACK | 10 in 1 CARTON
PUBLISHED_DATE: Nov 03, 2011
TITLE: CLANZA CR (ACECLOFENAC) TABLET, FILM COATED [UNITED DOUGLAS PHARM., INC.]
SETID: 8a023942-01e8-4849-aa3c-1a640ffc7fd3
SOURCE: DailyMed"
DailyMed,diclofenac,96f8c42c-db34-43b0-a891-33dd8e39e74f,DICLOFENAC SODIUM GEL [REMEDYREPACK INC.],"Apr 09, 2026",DICLOFENAC SODIUM,diclofenac sodium,DICLOFENAC SODIUM,30 mg in 1 g,70518-3315-0,1 in 1 CARTON | 100 g in 1 TUBE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: DICLOFENAC SODIUM
GENERIC_NAME: diclofenac sodium
ACTIVE_INGREDIENTS: DICLOFENAC SODIUM
STRENGTHS: 30 mg in 1 g
NDCS: 70518-3315-0
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 100 g in 1 TUBE
PUBLISHED_DATE: Apr 09, 2026
TITLE: DICLOFENAC SODIUM GEL [REMEDYREPACK INC.]
SETID: 96f8c42c-db34-43b0-a891-33dd8e39e74f
SOURCE: DailyMed"
DailyMed,diclofenac,567de37c-c9da-46e7-8347-01a832ee21b2,SURPASS (DICLOFENAC SODIUM) CREAM [BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC.],"Apr 08, 2026",Surpass,DIclofenac sodium,DICLOFENAC SODIUM,0.01 g in 1 g,0010-4498-01,1 in 1 CARTON | 124 g in 1 TUBE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Surpass
GENERIC_NAME: DIclofenac sodium
ACTIVE_INGREDIENTS: DICLOFENAC SODIUM
STRENGTHS: 0.01 g in 1 g
NDCS: 0010-4498-01
PACKAGE_DESCRIPTIONS: 1 in 1 CARTON | 124 g in 1 TUBE
PUBLISHED_DATE: Apr 08, 2026
TITLE: SURPASS (DICLOFENAC SODIUM) CREAM [BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC.]
SETID: 567de37c-c9da-46e7-8347-01a832ee21b2
SOURCE: DailyMed"
DailyMed,tramadol,a77b0dba-8ac7-418a-b435-16a0e6c22804,"TRAMADOL HYDROCHLORIDE TABLET, EXTENDED RELEASE [BRYANT RANCH PREPACK]","Apr 09, 2026",TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,300 mg,63629-8324-1 | 63629-8324-2 | 63629-8324-3 | 63629-8324-4,30 in 1 BOTTLE | 60 in 1 BOTTLE | 90 in 1 BOTTLE | 120 in 1 BOTTLE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: TRAMADOL HYDROCHLORIDE
GENERIC_NAME: TRAMADOL HYDROCHLORIDE
ACTIVE_INGREDIENTS: TRAMADOL HYDROCHLORIDE
STRENGTHS: 300 mg
NDCS: 63629-8324-1 | 63629-8324-2 | 63629-8324-3 | 63629-8324-4
PACKAGE_DESCRIPTIONS: 30 in 1 BOTTLE | 60 in 1 BOTTLE | 90 in 1 BOTTLE | 120 in 1 BOTTLE
PUBLISHED_DATE: Apr 09, 2026
TITLE: TRAMADOL HYDROCHLORIDE TABLET, EXTENDED RELEASE [BRYANT RANCH PREPACK]
SETID: a77b0dba-8ac7-418a-b435-16a0e6c22804
SOURCE: DailyMed"
DailyMed,tramadol,4e40f55e-1d8e-ce2f-e063-6294a90a7bec,TRAMADOL/APAP TABLET [DIRECT_RX],"Mar 31, 2026",Tramadol/APAP,Tramadol/APAP,TRAMADOL HYDROCHLORIDE | ACETAMINOPHEN,37.5 mg | 325 mg,72189-671-60,60 in 1 BOTTLE,"TYPE: DAILMED_PRODUCT
PRODUCT_NAME: Tramadol/APAP
GENERIC_NAME: Tramadol/APAP
ACTIVE_INGREDIENTS: TRAMADOL HYDROCHLORIDE | ACETAMINOPHEN
STRENGTHS: 37.5 mg | 325 mg
NDCS: 72189-671-60
PACKAGE_DESCRIPTIONS: 60 in 1 BOTTLE
PUBLISHED_DATE: Mar 31, 2026
TITLE: TRAMADOL/APAP TABLET [DIRECT_RX]
SETID: 4e40f55e-1d8e-ce2f-e063-6294a90a7bec
SOURCE: DailyMed"
