itemid,label,aliases,valueuom,category,fluid,structured_text
50808,Free Calcium,Free Calcium | Free Calcium Blood | Blood Gas Free Calcium,mmol/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Free Calcium
ALIASES: Free Calcium | Free Calcium Blood | Blood Gas Free Calcium
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50808"
50826,Tidal Volume,Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Tidal Volume
ALIASES: Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50826"
50813,Lactate,Lactate | Lactate Blood | Blood Gas Lactate,mmol/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Blood Gas Lactate
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50813"
52029,% Ionized Calcium,% Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: % Ionized Calcium
ALIASES: % Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52029"
50801,Alveolar-arterial Gradient,Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient,mm Hg,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Alveolar-arterial Gradient
ALIASES: Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50801"
50810,"Hematocrit, Calculated","Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated",%,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit, Calculated
ALIASES: Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50810"
52025,Delete,Delete | Delete Blood | Blood Gas Delete,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Delete
ALIASES: Delete | Delete Blood | Blood Gas Delete
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52025"
52031,Osmolality,Osmolality | Osmolality Blood | Blood Gas Osmolality,,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Osmolality
ALIASES: Osmolality | Osmolality Blood | Blood Gas Osmolality
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52031"
52022,"Albumin, Blood","Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood",,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Albumin, Blood
ALIASES: Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52022"
50806,"Chloride, Whole Blood","Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood",mEq/L,Blood Gas,Blood,"TYPE: LAB_TEST
DISPLAY_NAME: Chloride, Whole Blood
ALIASES: Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50806"
