itemid,label,fluid,category,valueuom,aliases,structured_text
50808,Free Calcium,Blood,Blood Gas,mmol/L,Free Calcium | Free Calcium Blood | Blood Gas Free Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: Free Calcium
ALIASES: Free Calcium | Free Calcium Blood | Blood Gas Free Calcium
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50808"
50826,Tidal Volume,Blood,Blood Gas,,Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume,"TYPE: LAB_TEST
DISPLAY_NAME: Tidal Volume
ALIASES: Tidal Volume | Tidal Volume Blood | Blood Gas Tidal Volume
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50826"
50813,Lactate,Blood,Blood Gas,mmol/L,Lactate | Lactate Blood | Blood Gas Lactate,"TYPE: LAB_TEST
DISPLAY_NAME: Lactate
ALIASES: Lactate | Lactate Blood | Blood Gas Lactate
UNIT: mmol/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50813"
52029,% Ionized Calcium,Blood,Blood Gas,,% Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: % Ionized Calcium
ALIASES: % Ionized Calcium | % Ionized Calcium Blood | Blood Gas % Ionized Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52029"
50801,Alveolar-arterial Gradient,Blood,Blood Gas,mm Hg,Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient,"TYPE: LAB_TEST
DISPLAY_NAME: Alveolar-arterial Gradient
ALIASES: Alveolar-arterial Gradient | Alveolar-arterial Gradient Blood | Blood Gas Alveolar-arterial Gradient
UNIT: mm Hg
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50801"
50810,"Hematocrit, Calculated",Blood,Blood Gas,%,"Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated","TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit, Calculated
ALIASES: Hematocrit, Calculated | Hematocrit Calculated | Hematocrit, Calculated Blood | Blood Gas Hematocrit, Calculated
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50810"
52025,Delete,Blood,Blood Gas,,Delete | Delete Blood | Blood Gas Delete,"TYPE: LAB_TEST
DISPLAY_NAME: Delete
ALIASES: Delete | Delete Blood | Blood Gas Delete
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52025"
52031,Osmolality,Blood,Blood Gas,,Osmolality | Osmolality Blood | Blood Gas Osmolality,"TYPE: LAB_TEST
DISPLAY_NAME: Osmolality
ALIASES: Osmolality | Osmolality Blood | Blood Gas Osmolality
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52031"
52022,"Albumin, Blood",Blood,Blood Gas,,"Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood","TYPE: LAB_TEST
DISPLAY_NAME: Albumin, Blood
ALIASES: Albumin, Blood | Albumin Blood | Albumin, Blood Blood | Blood Gas Albumin, Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52022"
50806,"Chloride, Whole Blood",Blood,Blood Gas,mEq/L,"Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Chloride, Whole Blood
ALIASES: Chloride, Whole Blood | Chloride Whole Blood | Chloride, Whole Blood Blood | Blood Gas Chloride, Whole Blood
UNIT: mEq/L
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50806"
50820,pH,Blood,Blood Gas,units,pH | pH Blood | Blood Gas pH,"TYPE: LAB_TEST
DISPLAY_NAME: pH
ALIASES: pH | pH Blood | Blood Gas pH
UNIT: units
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50820"
52028,Hematocrit,Blood,Blood Gas,,Hematocrit | Hematocrit Blood | Blood Gas Hematocrit,"TYPE: LAB_TEST
DISPLAY_NAME: Hematocrit
ALIASES: Hematocrit | Hematocrit Blood | Blood Gas Hematocrit
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52028"
52036,Voided Specimen,Blood,Blood Gas,,Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen,"TYPE: LAB_TEST
DISPLAY_NAME: Voided Specimen
ALIASES: Voided Specimen | Voided Specimen Blood | Blood Gas Voided Specimen
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52036"
50812,Intubated,Blood,Blood Gas,,Intubated | Intubated Blood | Blood Gas Intubated,"TYPE: LAB_TEST
DISPLAY_NAME: Intubated
ALIASES: Intubated | Intubated Blood | Blood Gas Intubated
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50812"
50817,Oxygen Saturation,Blood,Blood Gas,%,Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation,"TYPE: LAB_TEST
DISPLAY_NAME: Oxygen Saturation
ALIASES: Oxygen Saturation | Oxygen Saturation Blood | Blood Gas Oxygen Saturation
UNIT: %
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50817"
52035,Total Calcium,Blood,Blood Gas,,Total Calcium | Total Calcium Blood | Blood Gas Total Calcium,"TYPE: LAB_TEST
DISPLAY_NAME: Total Calcium
ALIASES: Total Calcium | Total Calcium Blood | Blood Gas Total Calcium
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52035"
50823,Required O2,Blood,Blood Gas,,Required O2 | Required O2 Blood | Blood Gas Required O2,"TYPE: LAB_TEST
DISPLAY_NAME: Required O2
ALIASES: Required O2 | Required O2 Blood | Blood Gas Required O2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50823"
52024,"Creatinine, Whole Blood",Blood,Blood Gas,mg/dL,"Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Creatinine, Whole Blood
ALIASES: Creatinine, Whole Blood | Creatinine Whole Blood | Creatinine, Whole Blood Blood | Blood Gas Creatinine, Whole Blood
UNIT: mg/dL
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52024"
52037,WB tCO2,Blood,Blood Gas,,WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2,"TYPE: LAB_TEST
DISPLAY_NAME: WB tCO2
ALIASES: WB tCO2 | WB tCO2 Blood | Blood Gas WB tCO2
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52037"
50815,O2 Flow,Blood,Blood Gas,L/min,O2 Flow | O2 Flow Blood | Blood Gas O2 Flow,"TYPE: LAB_TEST
DISPLAY_NAME: O2 Flow
ALIASES: O2 Flow | O2 Flow Blood | Blood Gas O2 Flow
UNIT: L/min
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 50815"
52452,"Potassium, Whole Blood",Blood,Blood Gas,,"Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood","TYPE: LAB_TEST
DISPLAY_NAME: Potassium, Whole Blood
ALIASES: Potassium, Whole Blood | Potassium Whole Blood | Potassium, Whole Blood Blood | Blood Gas Potassium, Whole Blood
UNIT: 
CATEGORY: Blood Gas
FLUID: Blood
LOINC: 
ITEMID: 52452"
