source_term,matched_rxcuis,status,error
paracetamol,161,ok,
mefenamic acid dicyclomine,,not_found,
mefenamic acid,6693,ok,
ibuprofen paracetamol,,not_found,
ibuprofen,5640,ok,
nimesulide,53694,ok,
aceclofenac,16689,ok,
aceclofenac paracetamol,,not_found,
diclofenac,3355,ok,
tramadol paracetamol,,not_found,
tramadol,10689,ok,
pantoprazole,40790,ok,
pantoprazole domperidone,,not_found,
omeprazole,7646,ok,
esomeprazole,283742,ok,
rabeprazole,114979,ok,
ranitidine,9143,ok,
aluminium hydroxide magnesium hydroxide simethicone,,not_found,
sodium bicarbonate citric acid,820299,ok,
metformin,6809,ok,
glimepiride,25789,ok,
sitagliptin metformin,729717,ok,
sitagliptin,593411,ok,
vildagliptin,596554,ok,
vildagliptin metformin,,not_found,
empagliflozin linagliptin,1598392,ok,
empagliflozin,1545653,ok,
dapagliflozin,1488564,ok,
voglibose,,not_found,
human insulin,253182,ok,
human insulin nph,,not_found,
biphasic human insulin,,not_found,
insulin glargine,274783,ok,
insulin aspart,51428,ok,
amlodipine,17767,ok,
telmisartan,73494,ok,
olmesartan,321064,ok,
losartan,52175,ok,
ramipril,35296,ok,
lisinopril,29046,ok,
metoprolol,6918,ok,
atenolol,1202,ok,
aspirin,1191,ok,
clopidogrel,32968,ok,
atorvastatin,83367,ok,
rosuvastatin,301542,ok,
levothyroxine,10582,ok,
amoxicillin clavulanic acid,,not_found,
azee,,not_found,
cefixime,25033,ok,
cefpodoxime,20489,ok,
cefuroxime,2194,ok,
ceftriaxone,2193,ok,
ciprofloxacin,2551,ok,
ofloxacin,7623,ok,
levofloxacin,82122,ok,
metronidazole,6922,ok,
tinidazole,10612,ok,
amikacin,641,ok,
gentamicin,1596450,ok,
meropenem,29561,ok,
piperacillin tazobactam,74169,ok,
cetirizine,20610,ok,
levocetirizine,356887,ok,
fexofenadine,87636,ok,
hydroxyzine,5553,ok,
paracetamol phenylephrine chlorpheniramine,,not_found,
montelukast levocetirizine,,not_found,
montelukast,88249,ok,
ambroxol guaifenesin terbutaline,,not_found,
levosalbutamol ambroxol guaifenesin,,not_found,
diphenhydramine ammonium chloride sodium citrate,820172,ok,
dextromethorphan chlorpheniramine,214390,ok,
dextromethorphan,3289,ok,
salbutamol,435,ok,
budesonide,19831,ok,
formoterol budesonide,389132,ok,
salmeterol fluticasone,284635,ok,
ipratropium salbutamol,,not_found,
theophylline etophylline,,not_found,
furosemide,4603,ok,
torsemide,38413,ok,
spironolactone,9997,ok,
furosemide spironolactone,392462,ok,
gabapentin,25480,ok,
pregabalin,187832,ok,
alprazolam,596,ok,
clonazepam,2598,ok,
zolpidem,39993,ok,
escitalopram,321988,ok,
sertraline,36437,ok,
clonazepam escitalopram,,not_found,
moxifloxacin,139462,ok,
natamycin,7268,ok,
betamethasone,1514,ok,
clotrimazole,2623,ok,
ondansetron,26225,ok,
domperidone,3626,ok,
metoclopramide,6915,ok,
calcium vitamin d3,,not_found,
cholecalciferol,2418,ok,
multivitamin,,not_found,
vitamin b complex,11251,ok,
vitamin b1 b6 b12,,not_found,
vitamin e,11256,ok,
vitamin c,1151,ok,
multivitamin minerals,,not_found,
herbal liver tonic,,not_found,
amoxicillin,723,ok,
iron folic acid,,not_found,
fluconazole azithromycin secnidazole,,not_found,
mifepristone misoprostol,,not_found,
metronidazole diloxanide,108249,ok,
acebrophylline,236595,ok,
acitretin,16818,ok,
